address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2344 Gail St,Los Angeles,CA,90031,785000,NA,NA,NA,56,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2344-Gail-St-Los-Angeles-CA-90031/20754137_zpid/
570 E Avenue 28,Lincoln Heights,CA,90031,1552700,NA,NA,NA,202,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/570-E-Avenue-28-Lincoln-Heights-CA-90031/2096147684_zpid/
3730 Griffin Ave,Los Angeles,CA,90031,918000,NA,NA,NA,163,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3730-Griffin-Ave-Los-Angeles-CA-90031/20637341_zpid/
150 E Avenue 32,Los Angeles,CA,90031,1089000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-E-Avenue-32-Los-Angeles-CA-90031/2105653365_zpid/
Workman St,Los Angeles,CA,90031,NA,NA,NA,NA,394,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581084_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Workman St,Los Angeles,CA,90031,NA,NA,NA,NA,323,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581086_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Griffin Ave,Los Angeles,CA,90031,NA,NA,NA,NA,269,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581095_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Darwin Ave,Los Angeles,CA,90031,NA,NA,NA,NA,255,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581105_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
W Avenue 28,Los Angeles,CA,90031,NA,NA,NA,NA,45,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/154055636_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
S Avenue 18 # 343,Los Angeles,CA,90031,NA,NA,NA,NA,17,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/217806973_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
E Avenue 28,Los Angeles,CA,90031,NA,NA,NA,NA,190,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581030_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Alta St,Los Angeles,CA,90031,NA,NA,NA,NA,746,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/135581045_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Griffin Ave,Los Angeles,CA,90031,NA,NA,NA,NA,250,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135581082_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4216 Garden Homes Ave,Los Angeles,CA,90032,739900,NA,NA,NA,1,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/4216-Garden-Homes-Ave-Los-Angeles-CA-90032/20691167_zpid/
